Date,Month,Year,EMS,Wind,Temp_mean,H2O,Sunspots,Sud_Imp,Sud_Storm,Dst_mean,Dst_var,Dst_group,PC1,PC2
2007-03-18,3,2007,10,2,-3.3,0,0,No,No,-7,12,level_1,0.7663570792100798,0.3682133179469864
2007-03-19,3,2007,10,2,-1.8,0,0,No,No,-5,7,level_1,1.6257113064101845,-0.24703842987362873
2007-03-20,3,2007,2,3,-1.9,0,0,No,No,-4,7,level_1,1.9126868411787357,-0.14560809663682392
2007-03-21,3,2007,7,3,1.1,0,0,No,No,2,12,level_1,3.9756783824678275,0.8307556379905551
2007-03-22,3,2007,2,3,2.8,0,0,No,No,1,9,level_1,3.5719729566271963,-0.3665558238829252
2007-03-23,3,2007,4,4,-0.2,1.1,13,No,No,-7,30,level_2,0.8157581208987392,-2.4767341920184442
2007-03-24,3,2007,4,2,-0.6,0,13,No,No,-39,71,level_3,-9.682278849642403,2.0603629609562906
2007-03-25,3,2007,2,3,-1,4.7,0,No,No,-19,46,level_2,-3.035255559988008,-3.074165796421774
2007-03-26,3,2007,13,4,-1.8,0,14,No,No,-17,16,level_2,-2.213446900353128,-0.3759492430560167
2007-03-27,3,2007,6,3,-3.3,0,13,No,No,-17,21,level_2,-2.445166897312071,-0.8800512396176018
2007-03-28,3,2007,4,3,-3.5,0,13,No,No,-16,14,level_2,-1.8118223495110766,0.6346618008094657
2007-03-29,3,2007,6,3,-4.7,0,13,No,No,-10,18,level_1,-0.20730154876298554,1.7507924544228022
2007-03-30,3,2007,4,6,-2,1.6,11,No,No,-7,25,level_2,0.7867196774185312,-0.49777769555455076
2007-03-31,3,2007,5,4,-4.8,0,11,No,No,1,23,level_1,3.394732848540775,0.7756795844444891
2007-04-01,4,2007,9,4,-0.8,0,16,No,No,-31,82,level_3,-6.880162544470869,-1.1653931231321586
2007-04-02,4,2007,9,2,1.7,0,0,No,No,-31,25,level_2,-6.742665828297568,1.4938158813202667
2007-04-03,4,2007,5,3,2.7,0,0,No,No,-21,17,level_2,-3.4310698327652944,1.0567176965703708
2007-04-04,4,2007,5,3,4.4,0,0,No,No,-23,19,level_2,-4.147370845820857,1.2426121533043542
2007-04-05,4,2007,10,2,5.1,0,0,No,No,-16,11,level_2,-1.9552451177278554,0.6621665018341412
2007-04-06,4,2007,2,3,4.9,0,0,No,No,-14,11,level_1,-1.5117108905871783,0.2911380676214431
2007-04-07,4,2007,4,2,4.7,0,0,No,No,-10,15,level_1,-0.15343340783856876,0.7297647681675874
2007-04-08,4,2007,6,3,4.3,0,0,No,No,1,38,level_1,3.5116775227964983,1.569220234260066
2007-04-09,4,2007,10,3,6.2,0,0,No,No,4,51,level_1,4.3038237669328,-3.6927987099829886
2007-04-10,4,2007,5,2,5.8,0,0,No,No,0,12,level_1,3.0859434687099148,0.121236441209542
2007-04-11,4,2007,10,2,6.5,0,0,No,No,-1,19,level_1,2.7629187404457487,1.0449880550018216
2007-04-12,4,2007,7,4,5.2,0,0,No,No,-12,28,level_2,-0.713733905853338,-2.959944730112251
2007-04-13,4,2007,8,3,4.3,0,0,No,No,-11,12,level_1,-0.19604785352325502,0.866919944106703
2007-04-14,4,2007,2,5,1.5,6.3,0,No,No,-2,11,level_1,2.6205504430732396,0.06470323879612476
2007-04-15,4,2007,2,5,2.1,0,0,No,No,-11,15,level_2,-0.27516534624513345,0.27467136360364486
2007-04-16,4,2007,4,2,5.1,0,0,No,No,-4,11,level_1,1.819252114861217,0.8699370995353746
2007-04-17,4,2007,5,3,5.2,2.3,11,No,No,-12,48,level_2,-0.8294335415749965,-4.723794904100977
2007-04-18,4,2007,6,5,5.3,0.4,0,No,No,-15,23,level_2,-1.5047563024654906,1.8907081921375741
2007-04-19,4,2007,11,4,3.6,3.3,0,No,No,-11,20,level_2,-0.29224159919627607,1.171881345428728
2007-04-20,4,2007,11,6,3.9,0,0,No,No,-2,15,level_1,2.535307721426681,0.9277459950063186
2007-04-21,4,2007,4,6,6,0,0,No,No,2,19,level_1,3.855210173625484,1.5312551241046561
2007-04-22,4,2007,5,5,7.6,0,0,No,No,3,18,level_1,4.174187097706924,-1.0304003952013203
2007-04-23,4,2007,3,3,8.4,0,0,No,No,-18,30,level_2,-2.7882883179022953,-0.7419400516401439
2007-04-24,4,2007,9,4,10.6,0,0,No,No,-4,23,level_1,1.9944221376165587,1.6530275681935687
2007-04-25,4,2007,5,5,10.9,0,13,No,No,-5,14,level_1,1.7230923097705484,0.1540944901380643
2007-04-26,4,2007,6,5,7.9,0,16,No,No,-3,29,level_1,2.3523318456553266,0.41786948397949925
2007-04-27,4,2007,3,4,12.7,0,18,No,No,-6,34,level_2,1.334697680668313,0.2302257906834746
2007-04-28,4,2007,5,3,15.4,0,23,No,No,-28,24,level_2,-5.679996148776699,1.2009867791151212
2007-04-29,4,2007,7,6,9.8,2.3,32,No,No,-22,15,level_2,-4.002884965704127,-0.09707978616488186
2007-04-30,4,2007,5,4,10.6,0,34,No,No,-28,29,level_2,-5.837219682123744,1.6921796434238496
2007-05-01,5,2007,6,2,12.4,0,33,No,No,-20,13,level_2,-3.2591548946782427,0.30511169951377304
2007-05-02,5,2007,8,3,13,0,33,No,No,-16,12,level_1,-1.9239199104544005,0.499042632385571
2007-05-03,5,2007,6,4,12.4,0,20,No,No,-10,9,level_1,0.09700533649199386,-0.4639587958001396
2007-05-04,5,2007,5,4,14.4,0,18,No,No,-6,7,level_1,1.3565409757587057,-0.0939629531748192
2007-05-05,5,2007,5,3,16.6,0,17,No,No,-5,8,level_1,1.581859029006842,-0.03810032839456398
2007-05-06,5,2007,2,8,9,0,15,No,No,4,20,level_1,4.372260264464106,1.7539389671976546
2007-05-07,5,2007,8,4,9.2,0,13,No,Yes,-3,66,level_2,2.3474575711973182,-3.2222759363809574
2007-05-08,5,2007,7,3,11.1,0,15,No,No,-13,17,level_2,-0.9923837816260119,0.8123301624816234
2007-05-09,5,2007,2,3,11.4,0,18,No,No,-9,11,level_1,0.34538272229587996,-0.5338339412095966
2007-05-10,5,2007,3,4,9.9,0,20,No,No,-7,10,level_1,0.9136720155833489,0.05903251714603425
2007-05-11,5,2007,9,6,8.9,0,23,No,No,-2,13,level_1,2.4882102713428718,-0.9952061688516894
2007-05-12,5,2007,9,3,11,0,22,No,No,1,11,level_1,3.623279038061442,0.13411606475349525
2007-05-13,5,2007,2,3,13.6,0,18,No,No,-1,11,level_1,2.976004745103872,0.11458743322913595
2007-05-14,5,2007,9,5,12.2,2.1,30,No,No,4,14,level_1,4.43118339688394,-0.5950002436010284
2007-05-15,5,2007,6,4,12.3,1.3,30,No,No,3,20,level_1,4.094684711063103,-1.7772868134094384
2007-05-16,5,2007,4,5,9.8,8.7,32,No,No,2,12,level_1,3.9028611990397195,-1.1473459712135985
2007-05-17,5,2007,9,4,12.1,0,40,No,No,-5,28,level_2,1.7469095983744471,-1.4921274919829222
2007-05-18,5,2007,2,4,10.4,0.9,42,No,No,-1,38,level_2,2.8697426574187874,0.436667963531424
2007-05-19,5,2007,10,4,11.1,0,37,No,No,-3,12,level_1,2.0806495937331864,0.10170063416233505
2007-05-20,5,2007,2,3,12.8,0.3,23,No,No,-5,13,level_1,1.6315907883180862,-0.5273973758843077
2007-05-21,5,2007,5,3,12.9,0.3,18,No,No,4,27,level_1,4.4838043296499634,2.6575040131399197
